2473597, -0.58, -0.19, 0.03, -41.65, 175.55, -280.49, 37.06, 44.86, 3.00
2473607, -1.13, -0.22, 0.10, -34.27, 151.10, -198.90, 35.86, 44.41, 3.00
2473616, -1.41, -0.40, 0.02, -15.06, 108.78, -70.79, 36.46, 43.51, 3.30
2473626, -1.48, -0.73, -0.44, 16.95, 56.65, 88.66, 36.61, 43.81, 1.95
2473635, -1.61, -1.22, -0.03, 42.20, -3.29, 211.40, 36.61, 43.81, 1.95
2473644, -1.51, -1.65, -0.28, 40.61, -25.49, 202.68, 36.61, 43.36, 2.70
2473654, -1.66, -1.05, -0.03, 45.18, 8.05, 89.82, 34.96, 43.51, 2.85
2473663, -1.02, -0.58, -0.29, -9.76, -40.61, 9.82, 38.26, 44.26, 2.25
2473672, -0.94, -0.24, -0.12, 12.56, -2.68, 10.61, 37.21, 43.21, 2.25
2473682, -0.77, -0.30, -0.12, 3.35, -10.37, 36.77, 37.66, 43.36, 2.40
2473691, -0.60, -0.16, -0.02, -8.11, -31.59, 58.72, 36.76, 43.51, 1.80
2473726, -0.63, -0.15, 0.04, 24.63, -8.48, 79.57, 36.76, 43.21, 3.90
2473736, -0.66, -0.16, 0.10, 18.11, -19.51, 97.74, 37.21, 44.71, 2.85
2473745, -0.76, -0.17, 0.12, 16.10, -20.18, 110.06, 37.36, 44.41, 2.85
2473754, -0.91, -0.21, 0.19, 20.98, -9.33, 120.12, 37.36, 44.41, 3.00
2473764, -1.02, -0.28, 0.14, 12.99, -11.89, 121.22, 37.21, 43.96, 4.95
2473773, -1.08, -0.28, 0.11, 10.98, -6.77, 114.63, 35.86, 43.81, 3.45
2473783, -1.11, -0.23, 0.09, 9.63, -2.20, 100.06, 35.56, 43.81, 3.75
2473792, -1.06, -0.23, 0.04, 4.63, -5.37, 78.23, 36.31, 44.11, 2.40
2473801, -1.04, -0.21, -0.01, 4.27, -4.70, 50.85, 35.86, 44.41, 2.70
2473810, -1.01, -0.14, -0.02, 3.17, -4.21, 20.85, 35.86, 44.41, 3.00
2473820, -0.97, -0.14, 0.02, 0.00, -2.38, 0.37, 35.71, 43.51, 2.55
2473829, -0.92, -0.14, 0.07, -1.77, 2.13, -14.57, 37.06, 42.31, 3.00
2473838, -0.91, -0.18, 0.09, -4.15, 4.82, -25.06, 34.66, 43.21, 3.60
2473847, -0.94, -0.20, 0.10, -6.04, 5.61, -33.35, 36.61, 43.36, 0.90
